Genre	Global_Sales
Sports	82.74
Platform	40.24
Racing	35.82
Sports	33
Role-Playing	31.37
Puzzle	30.26
Platform	30.01
Misc	29.02
Platform	28.62
Shooter	28.31
Simulation	24.76
Racing	23.42
Role-Playing	23.1
Sports	22.72
Sports	22
Misc	21.82
Action	21.4
Action	20.81
Platform	20.61
Misc	20.22
Role-Playing	18.36
Platform	18.14
Platform	17.28
Action	16.38
Action	16.15
Role-Playing	15.85
Role-Playing	15.32
Puzzle	15.3
Racing	14.98
Shooter	14.76
Role-Playing	14.64
Shooter	14.64
Role-Playing	14.35
Shooter	14.24
Shooter	14.03
Shooter	13.73
Shooter	13.51
Shooter	13.46
Action	13.1
Fighting	13.04
Shooter	12.73
Simulation	12.27
Racing	12.21
Shooter	12.14
Action	11.98
Action	11.9
Platform	11.89
Racing	11.66
Platform	11.52
Role-Playing	11.33
Adventure	11.18
Action	11.02
Racing	10.95
Platform	10.79
Racing	10.77
Shooter	10.69
Action	10.57
Platform	10.55
Role-Playing	10.49
Platform	10.42
Misc	10.26
Shooter	10.21
Shooter	9.88
Racing	9.87
Platform	9.82
Shooter	9.76
Role-Playing	9.72
Shooter	9.59
Misc	9.52
Racing	9.49
Shooter	9.32
Platform	9.3
Misc	9.2
Simulation	9.09
Misc	9.02
Role-Playing	8.84
Racing	8.76
Sports	8.49
Misc	8.49
Shooter	8.49
Misc	8.42
Role-Playing	8.33
Action	8.24
Simulation	8.11
Shooter	8.09
Sports	8.06
Role-Playing	8.05
Role-Playing	7.86
Role-Playing	7.84
Puzzle	7.81
Action	7.72
Platform	7.69
Shooter	7.67
Shooter	7.6
Action	7.6
Platform	7.58
Platform	7.46
Fighting	7.45
Shooter	7.37
Shooter	7.34
Action	7.31
Shooter	7.3
Misc	7.27
Shooter	7.23
Racing	7.2
Fighting	7.16
Platform	7.13
Fighting	7.07
Racing	6.96
Role-Playing	6.96
Racing	6.95
Misc	6.91
Sports	6.9
Racing	6.9
Shooter	6.83
Action	6.83
Platform	6.82
Sports	6.81
Shooter	6.76
Action	6.73
Shooter	6.72
Sports	6.69
Misc	6.67
Action	6.6
Sports	6.59
Platform	6.59
Role-Playing	6.56
Action	6.51
Action	6.5
Shooter	6.43
Role-Playing	6.41
Role-Playing	6.4
Role-Playing	6.39
Shooter	6.36
Action	6.34
Platform	6.31
Fighting	6.3
Role-Playing	6.28
Action	6.27
Sports	6.24
Shooter	6.24
Shooter	6.11
Action	6.05
Platform	6.03
Action	6.03
Action	6.03
Action	5.99
Role-Playing	5.95
Platform	5.92
Role-Playing	5.84
Action	5.83
Action	5.82
Fighting	5.74
Simulation	5.72
Shooter	5.65
Puzzle	5.58
Action	5.57
Fighting	5.55
Adventure	5.55
Action	5.53
Racing	5.51
Role-Playing	5.5
Platform	5.49
Racing	5.47
Platform	5.46
Strategy	5.45
Shooter	5.43
Platform	5.42
Misc	5.42
Role-Playing	5.36
Puzzle	5.34
Misc	5.31
Action	5.3
Role-Playing	5.3
Role-Playing	5.29
Platform	5.27
Action	5.27
Puzzle	5.26
Action	5.24
Sports	5.23
Role-Playing	5.21
Role-Playing	5.2
Platform	5.2
Platform	5.19
Platform	5.19
Action	5.18
Action	5.17
Platform	5.15
Simulation	5.15
Sports	5.14
Shooter	5.13
Platform	5.13
Role-Playing	5.13
Shooter	5.13
Simulation	5.12
Misc	5.12
Action	5.11
Action	5.08
Action	5.08
Sports	5.08
Platform	5.07
Action	5.05
Sports	5.02
Fighting	5.02
Strategy	5.01
Platform	5
Shooter	5
Misc	4.98
Role-Playing	4.96
Role-Playing	4.96
Action	4.94
Sports	4.91
Action	4.9
Racing	4.88
Role-Playing	4.87
Puzzle	4.85
Action	4.84
Strategy	4.83
Adventure	4.83
Sports	4.82
Racing	4.79
Sports	4.77
Action	4.76
Action	4.73
Racing	4.7
Sports	4.68
Simulation	4.68
Action	4.67
Racing	4.64
Action	4.63
Misc	4.62
Action	4.61
Action	4.6
Sports	4.58
Action	4.58
Shooter	4.57
Action	4.55
Misc	4.53
Sports	4.53
Platform	4.5
Sports	4.49
Action	4.48
Role-Playing	4.47
Action	4.47
Shooter	4.45
Action	4.45
Misc	4.44
Misc	4.42
Sports	4.41
Sports	4.39
Role-Playing	4.39
Adventure	4.38
Racing	4.37
Shooter	4.35
Platform	4.34
Role-Playing	4.33
Sports	4.31
Shooter	4.31
Shooter	4.31
Role-Playing	4.31
Shooter	4.26
Platform	4.25
Action	4.25
Action	4.24
Misc	4.24
Action	4.23
Platform	4.22
Strategy	4.21
Action	4.21
Sports	4.21
Misc	4.2
Shooter	4.2
Racing	4.2
Action	4.19
Fighting	4.19
Sports	4.19
Action	4.17
Racing	4.16
Action	4.16
Sports	4.14
Action	4.14
Shooter	4.12
Platform	4.12
Sports	4.11
Action	4.1
Fighting	4.1
Misc	4.1
Role-Playing	4.09
Role-Playing	4.09
Role-Playing	4.08
Action	4.07
Racing	4.06
Sports	4.06
Misc	4.05
Fighting	4.05
Shooter	4.03
Shooter	4.03
Misc	4.02
Sports	4.01
Role-Playing	4.01
Puzzle	4
Shooter	3.99
Misc	3.98
Sports	3.92
Action	3.92
Platform	3.91
Sports	3.9
Action	3.89
Role-Playing	3.89
Racing	3.88
Role-Playing	3.88
Fighting	3.87
Role-Playing	3.87
Sports	3.87
Sports	3.85
Sports	3.85
Misc	3.84
Misc	3.84
Action	3.83
Role-Playing	3.83
Misc	3.82
Simulation	3.81
Action	3.79
Sports	3.78
Action	3.78
Action	3.77
Platform	3.77
Misc	3.76
Simulation	3.76
Platform	3.76
Action	3.73
Role-Playing	3.73
Action	3.72
Platform	3.71
Sports	3.7
Strategy	3.7
Shooter	3.69
Simulation	3.69
Misc	3.67
Sports	3.67
Racing	3.66
Platform	3.65
Shooter	3.65
Misc	3.65
Racing	3.64
Platform	3.64
Simulation	3.63
Sports	3.63
Sports	3.63
Shooter	3.63
Action	3.62
Shooter	3.61
Shooter	3.61
Shooter	3.61
Racing	3.61
Simulation	3.61
Action	3.6
Shooter	3.59
Fighting	3.58
Platform	3.56
Action	3.54
Action	3.54
Action	3.54
Shooter	3.53
Action	3.53
Shooter	3.53
Sports	3.53
Action	3.52
Platform	3.52
Shooter	3.52
Sports	3.52
Action	3.51
Platform	3.51
Action	3.5
Action	3.5
Action	3.5
Misc	3.5
Sports	3.49
Shooter	3.49
Shooter	3.48
Misc	3.48
Action	3.46
Shooter	3.45
Role-Playing	3.44
Shooter	3.44
Fighting	3.44
Shooter	3.43
Platform	3.42
Action	3.42
Role-Playing	3.42
Action	3.41
Racing	3.41
Sports	3.4
Misc	3.39
Action	3.38
Action	3.38
Action	3.38
Fighting	3.36
Action	3.36
Puzzle	3.36
Adventure	3.34
Action	3.34
Misc	3.33
Shooter	3.33
Platform	3.33
Misc	3.32
Action	3.32
Shooter	3.31
Action	3.28
Action	3.28
Shooter	3.28
Action	3.27
Misc	3.27
Racing	3.27
Action	3.26
Fighting	3.24
Sports	3.23
Adventure	3.23
Sports	3.22
Role-Playing	3.22
Shooter	3.21
Sports	3.2
Fighting	3.2
Fighting	3.2
Role-Playing	3.19
Action	3.19
Role-Playing	3.19
Misc	3.19
Action	3.18
Platform	3.18
Role-Playing	3.17
Action	3.17
Misc	3.17
Simulation	3.17
Adventure	3.16
Simulation	3.15
Action	3.15
Platform	3.15
Shooter	3.15
Shooter	3.15
Sports	3.14
Action	3.13
Racing	3.12
Racing	3.12
Misc	3.12
Role-Playing	3.12
Role-Playing	3.12
Adventure	3.12
Role-Playing	3.11
Sports	3.11
Fighting	3.09
Sports	3.08
Sports	3.08
Shooter	3.07
Action	3.07
Platform	3.07
Simulation	3.07
Role-Playing	3.07
Action	3.05
Shooter	3.04
Platform	3.04
Action	3.03
Platform	3.03
Shooter	3.02
Action	3.02
Fighting	3.02
Sports	3.02
Shooter	3
Sports	3
Fighting	3
Fighting	3
Action	2.99
Shooter	2.99
Misc	2.99
Sports	2.99
Action	2.99
Simulation	2.98
Shooter	2.97
Simulation	2.97
Role-Playing	2.97
Platform	2.96
Platform	2.96
Action	2.96
Fighting	2.95
Racing	2.94
Shooter	2.94
Fighting	2.94
Action	2.94
Puzzle	2.94
Role-Playing	2.93
Puzzle	2.92
Simulation	2.91
Platform	2.91
Sports	2.9
Shooter	2.9
Misc	2.9
Sports	2.9
Sports	2.9
Racing	2.89
Sports	2.89
Shooter	2.89
Sports	2.88
Shooter	2.88
Simulation	2.88
Racing	2.87
Shooter	2.86
Sports	2.86
Role-Playing	2.86
Fighting	2.85
Racing	2.85
Platform	2.85
Strategy	2.85
Action	2.85
Sports	2.85
Action	2.84
Shooter	2.83
Sports	2.83
Shooter	2.83
Fighting	2.83
Shooter	2.82
Action	2.82
Adventure	2.81
Racing	2.81
Simulation	2.81
Fighting	2.8
Action	2.8
Platform	2.8
Sports	2.79
Shooter	2.79
Platform	2.79
Fighting	2.79
Role-Playing	2.79
Fighting	2.79
Shooter	2.79
Sports	2.79
Puzzle	2.79
Role-Playing	2.79
Platform	2.78
Action	2.78
Platform	2.78
Fighting	2.78
Simulation	2.77
Platform	2.77
Action	2.77
Shooter	2.76
Misc	2.75
Action	2.74
Strategy	2.73
Action	2.73
Adventure	2.72
Shooter	2.71
Action	2.7
Action	2.7
Fighting	2.7
Misc	2.7
Sports	2.69
Action	2.69
Sports	2.69
Puzzle	2.69
Sports	2.68
Racing	2.68
Role-Playing	2.68
Racing	2.68
Role-Playing	2.68
Fighting	2.67
Shooter	2.67
Misc	2.67
Shooter	2.67
Role-Playing	2.66
Action	2.65
Action	2.65
Action	2.65
Shooter	2.65
Platform	2.65
Action	2.65
Action	2.64
Racing	2.63
Fighting	2.63
Strategy	2.63
Action	2.63
Sports	2.62
Sports	2.62
Shooter	2.62
Sports	2.62
Sports	2.62
Simulation	2.61
Action	2.61
Platform	2.6
Action	2.6
Sports	2.59
Platform	2.59
Sports	2.59
Platform	2.58
Shooter	2.58
Action	2.58
Role-Playing	2.58
Fighting	2.58
Platform	2.57
Misc	2.57
Role-Playing	2.57
Sports	2.57
Platform	2.56
Role-Playing	2.56
Sports	2.56
Role-Playing	2.54
Sports	2.54
Sports	2.54
Shooter	2.53
Racing	2.52
Action	2.52
Misc	2.52
Role-Playing	2.52
Action	2.51
Role-Playing	2.5
Sports	2.5
Misc	2.5
Action	2.49
Action	2.49
Action	2.49
Fighting	2.49
Shooter	2.48
Racing	2.48
Action	2.48
Sports	2.48
Misc	2.48
Sports	2.47
Misc	2.47
Misc	2.46
Racing	2.45
Role-Playing	2.45
Role-Playing	2.45
Racing	2.44
Shooter	2.44
Racing	2.44
Simulation	2.43
Adventure	2.43
Shooter	2.42
Platform	2.42
Sports	2.42
Sports	2.42
Fighting	2.41
Racing	2.41
Action	2.41
Misc	2.41
Racing	2.41
Sports	2.4
