Data,Categoria,Descrição,Valor (R$)
2025-01-01,Alimentação,CHOCOLATESLUGANO,-8.9
2025-01-01,Alimentação,MENDONCA FOODS RESTAUR,-133.5
2025-01-01,Alimentação,STAR 195,-17.5
2025-01-01,Educação,EBN *CAMBLY,-69
2025-01-01,Lazer e compras,DL*ALIPAY MAGAZI,-109.61
2025-01-01,Lazer e compras,HUB*KABUM,-141.58
2025-01-01,Moradia,PIX TRANSF,-1000
2025-01-02,Lazer e compras,MERCADOLIVRE*LK3,-37.09
2025-01-02,Lazer e compras,OUTLET ECOMMERCE SB,-119.56
2025-01-03,Alimentação,PAGAMENTO,-23
2025-01-03,Alimentação,PANIFICADORA LOCAL,-5.51
2025-01-03,Lazer e compras,LOJAMYFT,-96.6
2025-01-03,Lazer e compras,MERCADOLIVRE*LK3,-48.08
2025-01-04,Alimentação,SUPERMERCADO LOCAL,-19.67
2025-01-04,Transporte,UBER*PENDING,-14.93
2025-01-05,Alimentação,SUPERMERCADO LOCAL,-207.1
2025-01-05,Alimentação,SUPERMERCADO LOCAL,-15.55
2025-01-06,Outros,MP*GROWTHSUPPLEMENTS,-253.12
2025-01-06,Outros,SEGURO CARTAO,-8.11
2025-01-06,Saúde,DROG. FARMA 101,-20.48
2025-01-06,Saúde,RACEBOOTCAMP ACAD,-41
2025-01-07,Alimentação,IFD*IFOOD CLUB,-5.95
2025-01-07,Moradia,PAGAMENTO ALUGUEL,-2325.4
2025-01-07,Moradia,PIX QRS LIGHT SERVI,-108.19
2025-01-07,Transporte,PIX TRANSPORTE PUBLICO,-11
2025-01-07,Transporte,UBER *PENDING,-16.91
2025-01-08,Alimentação,SUPERMERCADO LOCAL,-84.23
2025-01-09,Moradia,VIVO EASY,-45
2025-01-09,Saúde,PIX ACADEMIA,-255.09
2025-01-10,Alimentação,IFD*PLANO B ALIMENTACAO L,-39
2025-01-10,Alimentação,IFD*RESTAURANTE LOCAL,-36.31
2025-01-10,Alimentação,SUPERMERCADO LOCAL,-29.32
2025-01-11,Alimentação,PANIFICADORA LOCAL,-6.4
2025-01-12,Transporte,UBER*PENDING,-13.9
2025-01-14,Lazer e compras,EBN *CRUNCHYROLL,-14.99
2025-01-14,Transporte,UBER *PENDING,-18.96
2025-01-14,Transporte,UBER *PENDING,-17.96
2025-01-15,Alimentação,IFD*RESTAURANTE LOCAL,-36.31
2025-01-15,Alimentação,SUPERMERCADO LOCAL,-124.83
2025-01-15,Lazer e compras,HUB*KABUM,-141.58
2025-01-16,Alimentação,IFD*CFC SILVA SANTOS COME,-28.9
2025-01-16,Alimentação,PANIFICADORA LOCAL,-5.69
2025-01-16,Moradia,Transferência enviada pelo Pix,-50
2025-01-17,Alimentação,LAFENICE,-35
2025-01-17,Alimentação,SUPERMERCADO LOCAL,-8.82
2025-01-17,Transporte,UBER*PENDING,-37.98
2025-01-20,Alimentação,PANIFICADORA LOCAL,-23.2
2025-01-21,Alimentação,SUPERMERCADO LOCAL,-45.8
2025-01-21,Transporte,MULTIPLAN ADMINISTRADO,-20
2025-01-22,Alimentação,IFD*RESTAURANTE LOCAL,-36.31
2025-01-22,Saúde,SUA ACADEMIA,-139.9
2025-01-24,Lazer e compras,AMAZON BR,-18.31
2025-01-24,Moradia,Transferência enviada pelo Pix,-100
2025-01-25,Alimentação,IFOOD *IFOOD,-46
2025-01-26,Alimentação,SUPERMERCADO LOCAL,-87.25
2025-01-26,Alimentação,SUPERMERCADO LOCAL,-52.2
2025-01-27,Lazer e compras,MERCADOLIVRE*AMJLSIMPORT,-62.59
2025-01-28,Alimentação,HORTIFRUTI LOCAL,-11.16
2025-01-28,Alimentação,IFD*RESTAURANTE COT PARRI,-29.93
2025-01-28,Alimentação,SUPERMERCADO LOCAL,-49.7
2025-01-31,Alimentação,SUPERMERCADO LOCAL,-136.1
2025-01-31,Alimentação,SUPERMERCADO LOCAL,-28.56
2025-01-31,Lazer e compras,NETFLIX.COM,-44.9
2025-01-31,Receita,CREDITO SALARIO,8342.63
2025-02-01,Alimentação,RODIZIO SUSHI,-182
2025-02-01,Educação,EBN *CAMBLY,-69
2025-02-01,Transporte,UBER *PENDING,-19.82
2025-02-02,Alimentação,PANIFICADORA LOCAL,-5.22
2025-02-02,Lazer e compras,EVENTIM.COM.BR,-210
2025-02-02,Outros,SHOPEE *SUPLEMENTOS080,-319
2025-02-03,Lazer e compras,DL*ALIPAY MAGAZI,-109.61
2025-02-03,Lazer e compras,HUB*KABUM,-141.58
2025-02-03,Saúde,DROG. FARMA 101,-80.95
2025-02-04,Alimentação,SUPERMERCADO LOCAL,-81.25
2025-02-04,Moradia,INT /VIVO,-156
2025-02-05,Alimentação,PANIFICADORA LOCAL,-7.24
2025-02-05,Alimentação,SPOLETO,-46.8
2025-02-05,Moradia,PIX IMOBILIARIA,-2378.8
2025-02-05,Moradia,PIX QRS LIGHT SERVI,-93.85
2025-02-06,Alimentação,IFD*OUTBACK STEAKHOUSE RE,-143.7
2025-02-07,Alimentação,IFD*RESTAURANTE LOCAL,-36.31
2025-02-07,Alimentação,SUPERMERCADO LOCAL,-205.61
2025-02-07,Lazer e compras,AMAZON BR,-67.17
2025-02-07,Lazer e compras,AMAZON BR,-67.09
2025-02-07,Lazer e compras,MAGAZINELUIZA,-49.39
2025-02-08,Alimentação,SUPERMERCADO LOCAL,-167.79
2025-02-08,Transporte,PIX TRANSPORTE PUBLICO,-51
2025-02-09,Alimentação,IFD*IFOOD CLUB,-5.95
2025-02-11,Alimentação,SUPERMERCADO LOCAL,-64.33
2025-02-11,Alimentação,SUPERMERCADO LOCAL,-9.48
2025-02-11,Lazer e compras,AMAZON BR,-110.9
2025-02-11,Lazer e compras,EC *SAMSUNG,-170.75
2025-02-11,Lazer e compras,MAGAZINELUIZA,-49.34
2025-02-11,Moradia,PIX IMOBILIARIA,-473.9
